
 #####################################################

     Memory Reading Speed Test OpenMP Version 1 by Roy Longbottom

               Start of test Sat Mar  7 19:12:39 2015

  Memory   x[m]=x[m]+s*y[m] Int+   x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       4     589    759    843    925    871    896    517    491    490
       8    1487   1056   1367   1707   1161   1472    971    876    876
      16    2357   1595   1941   2852   2186   2348   1737   1422   1355
      32    2565   2045   2669   4329   2876   3161   2945   2246   2235
      64    3964   2294   3080   5634   3497   3962   4224   2936   2934
     128    2420   2317   3096   5661   3478   3928   1831   3416   3425
     256    2884   2150   2838   4411   3179   3578   1184   1392   1357
     512    1837   1731   2155   3061   2327   2557   1064   1217   1218
    1024     650    990   1106   1254   1134   1162   1050   1055    937
    2048     793    833    907   1010    935    889    851    676    825
    4096     792    705    864   1004    871    953    767    771    748
    8192     760    829    881   1009    935    961    761    736    766
   16384     839    810    873   1004    934    961    765    772    762
   32768     850    829    906   1005    725    953    770    776    777
   65536     951    838    894   1022    928    963    772    779    779
  131072     949    835    867   1010    937    950    774    786    788

                End of test Sat Mar  7 19:13:10 2015
